Load, Trial1, Trial2, Trial3, Trial4, Trial5, Trial6, Trial7, Trial8, Trial9, Trial10, Mean, StDev
0, 6.37435999900097, 6.368042550003741, 6.382262615165667, 6.372461849696545, 6.372249831431208, 6.384283074464364, 6.4055423792285655, 6.400504407321395, 6.3813233458177265, 6.34594068304374, 6.378697073517392, 0.015914770486960942
1, 2.767970025885725, 2.7685722935570865, 2.7713958771934695, 2.771684970086823, 2.7712625608949963, 2.7713913545821165, 2.7702765757708736, 2.7729833020408607, 2.7708489565106302, 2.769178424619488, 2.7705564341142064, 0.0014748821906701416
2, 2.2790904048807543, 2.2744822485207106, 2.281035120147874, 2.274458330252163, 2.2680618206019374, 2.2827830973418615, 2.2667529585798816, 2.2807633983060254, 2.281863560732113, 2.276781422179492, 2.2766072361542813, 0.005367595366252386
3, 2.073486445504642, 2.070910973084886, 2.066900887573965, 2.0621903423796493, 2.070596501608668, 2.06910959917172, 2.0646282397308386, 2.061843856276801, 2.073839896468848, 2.069943778665483, 2.06834505204655, 0.0040922729535692185
4, 1.9577703171388143, 1.9532355143816047, 1.9508433200177544, 1.9527825556233702, 1.9504425760981159, 1.9540915395284326, 1.9530851181888804, 1.9538593862715723, 1.955887248917989, 1.951395439161072, 1.9533393015327607, 0.0021388589284095628
5, 1.8771175166297114, 1.8739302026517666, 1.8751219944991573, 1.872998980089575, 1.8735474141754636, 1.8750055424998895, 1.8803157287925147, 1.8773681174852475, 1.8776949693904712, 1.8727095257109898, 1.8755809991924786, 0.0023399963155349775
6, 1.8224178099922341, 1.8234228237556396, 1.8259085363599392, 1.8217151732554269, 1.8223939651665866, 1.8203194321206744, 1.8281296241491571, 1.8270034392219223, 1.8242188944352007, 1.826840626848019, 1.8242370325304798, 0.0024790119797933594
7, 1.7868847263161232, 1.7868920032976092, 1.78435102403145, 1.7860969347323041, 1.7829228867547782, 1.787344661425311, 1.7864591587688994, 1.786533950421607, 1.783955117436369, 1.789493707003139, 1.786093417018759, 0.0017994405979049484
8, 1.7613645818887813, 1.7578792586838308, 1.758953588370738, 1.7569494534761136, 1.7544180885004854, 1.758371944621702, 1.759846887828692, 1.7612983770287143, 1.7588713481119773, 1.7565603328710122, 1.7584513861382045, 0.0020347255715597386
9, 1.7363320263372048, 1.736503317138136, 1.7376078914919852, 1.7365902981577843, 1.7394145643757244, 1.7391368680641182, 1.7368771583621114, 1.7388162762022195, 1.7363008631319359, 1.734979281767956, 1.7372558545029175, 0.0013732452501532084
10, 1.7169687129755584, 1.7192150665086263, 1.7189419196350237, 1.7183209789903064, 1.719670045193278, 1.7197999824546013, 1.7175391636315767, 1.7182591910151794, 1.7196893237965685, 1.717538164590279, 1.7185942548790998, 0.0009682167012342364
