Load, Trial1, Trial2, Trial3, Trial4, Trial5, Trial6, Trial7, Trial8, Trial9, Trial10, Mean, StDev
0, 14.765071245889658, 14.797083153383632, 14.865986575397086, 14.865745507689228, 14.945210028225137, 14.832458646117054, 14.796990233207097, 14.904760322891407, 14.876457883369305, 14.889999999999977, 14.85397635961696, 0.05276349086206195
1, 3.554882819629357, 3.5591801949211317, 3.5545231063196994, 3.5551281135683754, 3.5561337688183814, 3.5562602067294207, 3.5544960965955705, 3.5555768922519757, 3.5549933979990853, 3.556363365121989, 3.5557537961954986, 0.0013178997887251642
2, 2.673158595334686, 2.674442560339773, 2.6722386829971634, 2.6770262131921774, 2.6703690206455097, 2.6752178735541112, 2.678192795905107, 2.6763447335890196, 2.6784871100125174, 2.664855101167746, 2.674033268673781, 0.003932694094079544
3, 2.2952866968842116, 2.2952690387510906, 2.2961536632910193, 2.2948642781307926, 2.291024320684466, 2.298209475518935, 2.2989194156605515, 2.2905847499247476, 2.2948679352906693, 2.295490556471036, 2.295067013060752, 0.002503599949617452
4, 2.0767026538571294, 2.074147176676219, 2.071637496432987, 2.076332156065309, 2.075863134867795, 2.0764447826138652, 2.0700118906064207, 2.0729445336186907, 2.0773328260249215, 2.072745000118904, 2.0744161650882242, 0.002361449839650345
5, 1.9162649694961214, 1.917427737501177, 1.919794354155289, 1.9172974805106764, 1.9195819996234227, 1.9211244798433413, 1.9240282352941174, 1.9197484371469462, 1.9180065519448735, 1.920420307321482, 1.9193694552837446, 0.002140482625930177
6, 1.8117915258234412, 1.8116696278360405, 1.8125402889800795, 1.8122474012800958, 1.8118908382066274, 1.814085127124641, 1.8115791625391133, 1.8116637054041733, 1.813787900221625, 1.8142814470105493, 1.812553702442639, 0.0010242714574615723
7, 1.733000472302813, 1.7296060888223148, 1.7322898394278778, 1.7311299747634925, 1.7331453092950453, 1.7337534409240565, 1.7322358656051815, 1.7310754284172176, 1.7317329878962069, 1.7336796653622992, 1.7321649072816505, 0.0012445917840717949
8, 1.6664696495064724, 1.6664617857733859, 1.666355449452809, 1.6672497340739865, 1.667190657983382, 1.6678918382300802, 1.667289123163655, 1.6674153053263672, 1.6675806966326663, 1.6676555408472014, 1.6671559780990006, 0.0005157718523049529
9, 1.6119867514852002, 1.6122273037901487, 1.6134913208499366, 1.6141439205955332, 1.6135931109171775, 1.6143597724476597, 1.6144796189795294, 1.6136836792631377, 1.6130151387720768, 1.6137178422364036, 1.6134698459336803, 0.0007961851835894264
10, 1.5658476889767485, 1.5672667696131972, 1.566435673395601, 1.567092802138836, 1.5666829874580994, 1.5661595812780058, 1.567178791986745, 1.5660050468908893, 1.5667476413761936, 1.5674775012237827, 1.5666894484338099, 0.0005368455885245893
